LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,TrackTemp,posicionActual,posicionSalida,circuitName,desgasteCircuito,vueltasCircuito,kmCircuitoTotales,nextPit
01:17.244,25.0,MEDIUM,25.0,True,1,1,21.3,False,39.6,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.808,26.0,MEDIUM,26.0,True,1,1,21.0,False,38.0,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.414,27.0,MEDIUM,27.0,True,1,1,20.9,False,37.8,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.189,28.0,MEDIUM,28.0,True,1,1,21.0,False,37.3,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:16.897,29.0,MEDIUM,29.0,True,1,1,20.6,False,36.3,14,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.425,30.0,MEDIUM,30.0,True,1,1,20.7,False,35.9,13,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.473,31.0,MEDIUM,31.0,True,1,1,20.6,False,35.5,13,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.985,32.0,MEDIUM,32.0,True,1,1,20.4,False,35.4,13,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.090,33.0,MEDIUM,33.0,True,1,1,20.4,False,35.3,13,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.695,34.0,MEDIUM,34.0,True,1,1,20.4,False,35.0,13,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.241,35.0,MEDIUM,35.0,True,1,1,20.4,False,35.0,13,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.288,36.0,MEDIUM,36.0,True,1,1,20.4,False,34.5,12,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.172,37.0,MEDIUM,37.0,True,1,1,20.3,False,34.9,12,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.286,38.0,MEDIUM,38.0,True,1,1,20.3,False,34.3,12,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.102,39.0,MEDIUM,39.0,True,1,1,20.3,False,34.3,12,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.263,40.0,MEDIUM,40.0,True,1,1,20.4,False,34.8,12,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.267,41.0,MEDIUM,41.0,True,1,1,20.4,False,34.7,12,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.446,42.0,MEDIUM,42.0,True,1,1,20.4,False,34.5,12,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:17.602,43.0,MEDIUM,43.0,True,1,1,20.4,False,34.4,12,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:18.384,44.0,MEDIUM,44.0,True,1,1,20.4,False,34.3,11,17.0,Circuit de Monaco,Medio,78,260.286,45.0
01:34.415,45.0,MEDIUM,45.0,True,1,1,20.6,False,34.3,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:20.632,46.0,SOFT,1.0,True,1,2,20.5,False,34.3,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.120,47.0,SOFT,2.0,True,1,2,20.4,False,34.3,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:20.318,48.0,SOFT,3.0,True,1,2,20.4,False,34.2,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.757,49.0,SOFT,4.0,True,1,2,20.4,False,33.9,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.997,50.0,SOFT,5.0,True,1,2,20.4,False,33.8,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.727,51.0,SOFT,6.0,True,1,2,20.4,False,33.9,13,17.0,Circuit de Monaco,Medio,78,260.286,77.0
