LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,TrackTemp,posicionActual,posicionSalida,circuitName,desgasteCircuito,vueltasCircuito,kmCircuitoTotales,nextPit
01:15.164,42.0,HARD,6.0,True,1,2,20.4,False,34.5,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:14.578,43.0,HARD,7.0,True,1,2,20.4,False,34.4,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.703,44.0,HARD,8.0,True,1,2,20.4,False,34.3,13,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.707,45.0,HARD,9.0,True,1,2,20.6,False,34.3,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:22.040,46.0,HARD,10.0,True,1,2,20.5,False,34.3,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.230,47.0,HARD,11.0,True,1,2,20.4,False,34.3,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.179,48.0,HARD,12.0,True,1,2,20.4,False,34.2,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.284,49.0,HARD,13.0,True,1,2,20.4,False,34.1,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.156,50.0,HARD,14.0,True,1,2,20.4,False,33.8,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:18.131,51.0,HARD,15.0,True,1,2,20.4,False,33.9,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.382,52.0,HARD,16.0,True,1,2,20.5,False,33.9,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.386,53.0,HARD,17.0,True,1,2,20.4,False,33.6,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.976,54.0,HARD,18.0,True,1,2,20.4,False,33.7,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.298,55.0,HARD,19.0,True,1,2,20.4,False,33.8,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.518,56.0,HARD,20.0,True,1,2,20.4,False,33.8,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.268,57.0,HARD,21.0,True,1,2,20.4,False,33.4,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.308,58.0,HARD,22.0,True,1,2,20.3,False,33.0,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.633,59.0,HARD,23.0,True,1,2,20.4,False,33.0,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.352,60.0,HARD,24.0,True,1,2,20.4,False,33.4,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:18.843,61.0,HARD,25.0,True,1,2,20.6,False,34.1,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.432,62.0,HARD,26.0,True,1,2,20.7,False,34.4,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.246,63.0,HARD,27.0,True,1,2,20.8,False,34.8,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:15.799,64.0,HARD,28.0,True,1,2,20.9,False,34.8,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.018,65.0,HARD,29.0,True,1,2,20.9,False,34.0,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.475,66.0,HARD,30.0,True,1,2,20.8,False,34.0,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.762,67.0,HARD,31.0,True,1,2,20.8,False,34.2,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.286,68.0,HARD,32.0,True,1,2,20.7,False,34.2,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.332,69.0,HARD,33.0,True,1,2,20.7,False,34.2,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.170,70.0,HARD,34.0,True,1,2,20.7,False,34.3,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.952,71.0,HARD,35.0,True,1,2,20.8,False,34.0,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.364,72.0,HARD,36.0,True,1,2,20.8,False,33.8,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.987,73.0,HARD,37.0,True,1,2,20.8,False,33.6,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.271,74.0,HARD,38.0,True,1,2,20.9,False,33.6,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.126,75.0,HARD,39.0,True,1,2,20.9,False,33.4,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:16.732,76.0,HARD,40.0,True,1,2,20.9,False,34.0,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
01:17.357,77.0,HARD,41.0,True,1,2,20.9,False,34.4,12,12.0,Circuit de Monaco,Medio,78,260.286,77.0
