LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
95.939,8.0,10.0,0,1,1.0,bottas,0,28.2,0,45.0,32.8,2.0,95.695,96.028,3.0,2018,19.0,0,0,0,1
95.885,9.0,11.0,0,1,1.0,bottas,0,28.1,0,45.0,32.8,2.0,95.815,96.161,3.0,2018,19.0,0,0,0,1
95.925,10.0,12.0,0,1,1.0,bottas,0,28.1,0,44.6,32.8,2.0,95.721,96.081,3.0,2018,19.0,0,0,0,1
96.267,11.0,13.0,0,2,1.0,bottas,0,28.2,0,44.7,32.7,2.0,95.969,96.143,3.0,2018,19.0,0,0,0,1
96.071,12.0,14.0,0,1,1.0,bottas,0,28.2,0,44.7,32.7,2.0,96.179,96.165,3.0,2018,19.0,0,0,0,1
96.274,13.0,15.0,0,1,1.0,bottas,0,28.2,0,44.8,32.8,2.0,96.097,96.565,3.0,2018,19.0,0,0,0,1
96.207,14.0,16.0,0,1,1.0,bottas,0,28.2,0,45.0,32.8,2.0,96.296,96.368,3.0,2018,19.0,0,0,0,1
96.296,15.0,17.0,0,1,1.0,bottas,0,28.1,0,45.1,32.8,2.0,96.494,96.344,3.0,2018,19.0,0,0,0,1
96.084,16.0,18.0,0,1,1.0,bottas,0,28.2,0,45.0,32.6,2.0,96.432,96.758,3.0,2018,19.0,0,0,0,1
96.364,17.0,19.0,0,1,1.0,bottas,0,28.3,0,44.6,32.7,2.0,96.593,96.756,3.0,2018,19.0,0,0,0,1
96.325,18.0,20.0,0,1,1.0,bottas,0,28.2,0,45.0,32.4,1.0,97.067,99.031,3.0,2018,19.0,0,0,0,1
99.344,19.0,21.0,0,1,1.0,bottas,0,28.3,0,44.5,32.5,1.0,97.621,99.187,3.0,2018,56.0,0,0,0,1
116.583,20.0,22.0,0,1,1.0,bottas,0,28.3,0,44.7,32.4,1.0,97.497,95.978,3.0,2018,56.0,0,0,0,1
93.074,21.0,1.0,1,1,2.0,bottas,1,28.0,0,45.8,32.2,3.0,94.453,94.411,3.0,2018,56.0,0,1,0,0
94.729,22.0,2.0,1,1,2.0,bottas,0,28.1,0,46.4,32.2,3.0,94.661,94.337,3.0,2018,56.0,0,1,0,0
94.586,23.0,3.0,1,1,2.0,bottas,0,28.1,0,46.2,32.2,3.0,94.613,94.587,3.0,2018,56.0,0,1,0,0
94.043,24.0,4.0,1,1,2.0,bottas,0,28.1,0,46.4,32.2,3.0,95.033,94.706,3.0,2018,56.0,0,1,0,0
95.012,25.0,5.0,1,1,2.0,bottas,0,28.2,0,46.2,32.2,3.0,96.302,94.766,3.0,2018,56.0,0,1,0,0
94.999,26.0,6.0,1,1,2.0,bottas,0,28.1,0,46.6,32.2,2.0,94.589,100.383,3.0,2018,56.0,0,1,0,0
94.633,27.0,7.0,1,2,2.0,bottas,0,28.0,0,46.6,32.0,2.0,94.727,94.755,3.0,2018,56.0,0,1,0,0
94.628,28.0,8.0,1,1,2.0,bottas,0,28.1,0,46.4,32.0,2.0,94.944,94.692,3.0,2018,56.0,0,1,0,0
95.011,29.0,9.0,1,1,2.0,bottas,0,28.1,0,46.7,32.0,2.0,94.953,94.794,3.0,2018,56.0,0,1,0,0
95.344,30.0,10.0,1,1,2.0,bottas,0,28.1,0,46.7,32.0,2.0,95.502,94.704,3.0,2018,56.0,0,1,0,0
95.028,31.0,11.0,1,1,2.0,bottas,0,28.0,0,47.3,31.9,2.0,95.315,94.089,3.0,2018,56.0,0,1,0,0
94.922,32.0,12.0,1,1,2.0,bottas,0,27.9,0,47.2,31.8,2.0,94.887,95.295,3.0,2018,56.0,0,1,0,0
94.986,33.0,13.0,1,1,2.0,bottas,0,27.9,0,46.4,31.9,2.0,94.088,94.948,3.0,2018,56.0,0,1,0,0
95.493,34.0,14.0,1,1,2.0,bottas,0,27.9,0,46.4,31.9,2.0,95.089,95.149,3.0,2018,56.0,0,1,0,0
94.985,35.0,15.0,1,1,2.0,bottas,0,27.9,0,46.7,31.9,2.0,94.729,97.888,3.0,2018,56.0,0,1,0,0
95.235,36.0,16.0,1,1,2.0,bottas,0,27.9,0,46.8,31.7,2.0,94.812,94.357,3.0,2018,56.0,0,1,0,0
95.216,37.0,17.0,1,1,2.0,bottas,0,27.9,0,46.7,31.8,2.0,94.591,95.084,3.0,2018,56.0,0,1,0,0
95.206,38.0,18.0,1,1,2.0,bottas,0,28.1,0,46.8,31.8,2.0,94.597,94.292,3.0,2018,56.0,0,1,0,0
95.385,39.0,19.0,1,1,2.0,bottas,0,28.1,0,46.9,31.9,2.0,94.748,94.377,3.0,2018,56.0,0,1,0,0
94.874,40.0,20.0,1,2,2.0,bottas,0,28.0,0,47.4,31.8,2.0,94.008,94.191,3.0,2018,56.0,0,1,0,0
95.186,41.0,21.0,1,2,2.0,bottas,0,28.1,0,47.7,31.7,2.0,95.077,94.678,3.0,2018,56.0,0,1,0,0
95.744,42.0,22.0,1,1,2.0,bottas,0,27.9,0,48.3,31.7,2.0,94.985,94.444,3.0,2018,56.0,0,1,0,0
94.546,43.0,23.0,1,1,2.0,bottas,0,27.9,0,48.3,31.7,2.0,95.078,94.054,3.0,2018,56.0,0,1,0,0
