LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_INTERMEDIATE,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_WET
84.582,15.0,16.0,0,1,1.0,raikkonen,0,22.2,0,64.9,30.2,1.0,86.764,84.747,1.0,2018,20.0,0,0,0,0,1,0
84.956,16.0,17.0,0,1,1.0,raikkonen,0,22.4,0,63.9,30.4,1.0,86.659,84.674,1.0,2018,20.0,0,0,0,0,1,0
84.742,17.0,18.0,0,1,1.0,raikkonen,0,22.4,0,64.2,30.1,1.0,89.016,84.545,1.0,2018,20.0,0,0,0,0,1,0
84.839,18.0,19.0,0,1,1.0,raikkonen,0,22.4,0,64.2,30.2,1.0,87.097,84.825,1.0,2018,20.0,0,0,0,0,1,0
84.516,19.0,20.0,0,1,1.0,raikkonen,0,22.3,0,63.6,29.8,1.0,86.995,84.056,1.0,2018,20.0,0,0,0,0,1,0
89.105,20.0,21.0,0,1,1.0,raikkonen,0,22.1,0,63.3,29.5,2.0,84.448,85.356,1.0,2018,53.0,0,0,0,0,1,0
102.054,21.0,1.0,1,1,2.0,raikkonen,1,22.2,0,63.6,29.8,4.0,85.169,86.097,1.0,2018,53.0,0,0,0,1,0,0
83.953,22.0,2.0,1,1,2.0,raikkonen,0,22.2,0,63.6,29.8,4.0,85.271,85.604,1.0,2018,53.0,0,0,0,1,0,0
83.535,23.0,3.0,1,1,2.0,raikkonen,0,22.3,0,63.5,30.0,4.0,85.325,85.505,1.0,2018,53.0,0,0,0,1,0,0
83.084,24.0,4.0,1,2,2.0,raikkonen,0,22.4,0,63.5,30.0,4.0,85.076,84.794,1.0,2018,53.0,0,0,0,1,0,0
83.586,25.0,5.0,1,2,2.0,raikkonen,0,22.4,0,63.8,30.1,4.0,86.181,85.296,1.0,2018,53.0,0,0,0,1,0,0
83.067,26.0,6.0,1,2,2.0,raikkonen,0,22.2,0,64.7,29.8,4.0,89.839,85.108,1.0,2018,53.0,0,0,0,1,0,0
83.733,27.0,7.0,1,1,2.0,raikkonen,0,22.2,0,65.3,29.8,3.0,84.199,84.566,1.0,2018,53.0,0,0,0,1,0,0
83.515,28.0,8.0,1,1,2.0,raikkonen,0,22.4,0,65.2,29.8,3.0,84.359,84.047,1.0,2018,53.0,0,0,0,1,0,0
