LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT
79.133,64.0,39.0,1,1,2.0,hamilton,0,17.0,0,49.5,30.9,1.0,84.541,80.421,1.0,2018,66.0,0,1,0,0
79.425,65.0,40.0,1,1,2.0,hamilton,0,16.9,0,49.5,30.7,1.0,81.059,81.013,1.0,2018,66.0,0,1,0,0
132.648,3.0,5.0,0,4,1.0,bottas,0,16.3,1,51.0,35.6,3.0,133.906,133.153,2.0,2018,19.0,0,0,1,0
128.556,4.0,6.0,0,4,1.0,bottas,0,15.9,1,52.0,34.0,3.0,128.681,128.036,2.0,2018,19.0,0,0,1,0
130.238,5.0,7.0,0,4,1.0,bottas,0,16.1,1,52.4,36.2,3.0,129.827,130.206,2.0,2018,19.0,0,0,1,0
132.666,6.0,8.0,0,4,1.0,bottas,0,16.7,0,51.5,36.6,3.0,133.232,132.584,2.0,2018,19.0,0,0,1,0
83.984,7.0,9.0,0,1,1.0,bottas,0,16.4,0,50.3,36.7,3.0,83.604,84.405,2.0,2018,19.0,0,0,1,0
83.445,8.0,10.0,0,1,1.0,bottas,0,16.5,1,51.0,36.5,3.0,82.259,83.722,2.0,2018,19.0,0,0,1,0
82.313,9.0,11.0,0,1,1.0,bottas,0,16.3,1,51.4,35.4,3.0,82.475,82.777,2.0,2018,19.0,0,0,1,0
82.221,10.0,12.0,0,1,1.0,bottas,0,16.2,1,51.0,35.1,3.0,82.536,82.723,2.0,2018,19.0,0,0,1,0
82.244,11.0,13.0,0,1,1.0,bottas,0,16.4,1,52.4,35.7,3.0,82.003,82.073,2.0,2018,19.0,0,0,1,0
82.603,12.0,14.0,0,1,1.0,bottas,0,16.6,1,50.7,36.3,3.0,82.875,82.641,2.0,2018,19.0,0,0,1,0
82.041,13.0,15.0,0,1,1.0,bottas,0,16.5,1,50.2,35.8,3.0,82.032,82.644,2.0,2018,19.0,0,0,1,0
82.372,14.0,16.0,0,1,1.0,bottas,0,16.4,1,51.8,33.2,3.0,82.162,82.027,2.0,2018,19.0,0,0,1,0
82.336,15.0,17.0,0,1,1.0,bottas,0,16.2,1,51.6,32.6,3.0,82.231,82.025,2.0,2018,19.0,0,0,1,0
81.936,16.0,18.0,0,1,1.0,bottas,0,16.0,1,53.0,32.2,3.0,82.043,82.248,2.0,2018,19.0,0,0,1,0
81.956,17.0,19.0,0,1,1.0,bottas,0,16.0,1,51.9,31.8,2.0,81.509,85.601,2.0,2018,19.0,0,0,1,0
81.485,18.0,20.0,0,1,1.0,bottas,0,15.8,1,52.8,31.4,2.0,81.328,82.169,2.0,2018,19.0,0,0,1,0
84.219,19.0,21.0,0,1,1.0,bottas,0,15.8,1,53.5,30.8,2.0,81.393,81.972,2.0,2018,66.0,0,0,1,0
103.642,20.0,1.0,1,1,2.0,bottas,1,15.8,1,53.8,30.8,7.0,84.524,83.757,2.0,2018,66.0,0,1,0,0
80.402,21.0,2.0,1,1,2.0,bottas,0,15.8,1,53.4,30.3,6.0,81.623,84.423,2.0,2018,66.0,0,1,0,0
81.347,22.0,3.0,1,1,2.0,bottas,0,15.7,0,52.8,29.7,6.0,81.451,82.842,2.0,2018,66.0,0,1,0,0
81.182,23.0,4.0,1,1,2.0,bottas,0,15.7,1,53.3,30.2,6.0,81.226,82.559,2.0,2018,66.0,0,1,0,0
81.249,24.0,5.0,1,1,2.0,bottas,0,15.7,1,53.3,29.8,6.0,81.449,82.911,2.0,2018,66.0,0,1,0,0
81.347,25.0,6.0,1,1,2.0,bottas,0,15.8,1,53.5,29.7,5.0,81.235,83.194,2.0,2018,66.0,0,1,0,0
80.094,26.0,7.0,1,1,2.0,bottas,0,15.8,1,53.2,29.6,5.0,81.004,83.129,2.0,2018,66.0,0,1,0,0
80.857,27.0,8.0,1,1,2.0,bottas,0,15.8,1,53.7,29.3,5.0,80.864,82.008,2.0,2018,66.0,0,1,0,0
81.015,28.0,9.0,1,1,2.0,bottas,0,15.9,1,53.3,29.6,5.0,80.929,82.587,2.0,2018,66.0,0,1,0,0
