LapTime,LapNumber,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,tiempoPilotoDelante,tiempoPilotoDetras,posicionSalida,anyo,nextPit,compound_HARD,compound_MEDIUM,compound_SOFT,compound_SUPERSOFT,compound_ULTRASOFT
69.891,3,5.0,0,1,1.0,raikkonen,0,22.7,0,37.4,47.4,4.0,69.816,70.348,3.0,2018,15,0,0,0,0,1
69.837,4,6.0,0,1,1.0,raikkonen,0,22.8,0,37.6,47.3,4.0,69.706,69.946,3.0,2018,15,0,0,0,0,1
69.969,5,7.0,0,1,1.0,raikkonen,0,22.9,0,36.9,46.9,4.0,69.728,69.758,3.0,2018,15,0,0,0,0,1
69.848,6,8.0,0,1,1.0,raikkonen,0,23.2,0,36.6,46.9,4.0,69.617,69.594,3.0,2018,15,0,0,0,0,1
69.928,7,9.0,0,1,1.0,raikkonen,0,23.2,0,36.9,47.1,4.0,69.405,69.896,3.0,2018,15,0,0,0,0,1
69.089,8,10.0,0,1,1.0,raikkonen,0,23.6,0,37.7,47.2,4.0,69.401,69.683,3.0,2018,15,0,0,0,0,1
69.465,9,11.0,0,1,1.0,raikkonen,0,23.8,0,36.2,47.2,4.0,69.263,69.628,3.0,2018,15,0,0,0,0,1
69.582,10,12.0,0,1,1.0,raikkonen,0,23.6,0,36.3,47.2,4.0,69.032,69.719,3.0,2018,15,0,0,0,0,1
69.438,11,13.0,0,1,1.0,raikkonen,0,23.5,0,36.7,47.0,4.0,69.299,69.387,3.0,2018,15,0,0,0,0,1
68.954,12,14.0,0,2,1.0,raikkonen,0,23.1,0,37.4,46.9,4.0,69.306,69.365,3.0,2018,15,0,0,0,0,1
69.874,13,15.0,0,2,1.0,raikkonen,0,22.8,0,37.0,46.9,4.0,69.785,69.882,3.0,2018,15,0,0,0,0,1
69.238,14,16.0,0,2,1.0,raikkonen,0,23.0,0,37.2,46.4,3.0,69.133,69.135,3.0,2018,15,0,0,0,0,1
88.035,15,17.0,0,26,1.0,raikkonen,0,22.8,0,37.7,46.6,3.0,87.553,88.735,3.0,2018,71,0,0,0,0,1
93.064,16,1.0,1,67,2.0,raikkonen,1,22.5,0,38.5,46.6,3.0,93.857,93.013,3.0,2018,71,0,0,1,0,0
68.274,17,2.0,1,1,2.0,raikkonen,0,22.2,0,39.4,46.7,3.0,68.687,68.228,3.0,2018,71,0,0,1,0,0
68.409,18,3.0,1,1,2.0,raikkonen,0,22.2,0,39.4,46.7,3.0,68.682,68.319,3.0,2018,71,0,0,1,0,0
68.465,19,4.0,1,1,2.0,raikkonen,0,22.6,0,39.5,46.7,3.0,68.736,68.558,3.0,2018,71,0,0,1,0,0
70.439,20,5.0,1,1,2.0,raikkonen,0,22.9,0,38.0,46.7,4.0,68.201,68.548,3.0,2018,71,0,0,1,0,0
68.859,21,6.0,1,1,2.0,raikkonen,0,23.0,0,37.9,46.6,4.0,68.058,68.248,3.0,2018,71,0,0,1,0,0
68.784,22,7.0,1,1,2.0,raikkonen,0,23.2,0,37.5,45.3,4.0,68.656,68.913,3.0,2018,71,0,0,1,0,0
68.779,23,8.0,1,1,2.0,raikkonen,0,22.7,0,38.5,44.6,4.0,68.808,68.558,3.0,2018,71,0,0,1,0,0
68.548,24,9.0,1,1,2.0,raikkonen,0,22.8,0,38.3,44.2,4.0,68.696,68.243,3.0,2018,71,0,0,1,0,0
68.581,25,10.0,1,1,2.0,raikkonen,0,22.8,0,38.4,45.1,4.0,68.525,67.989,3.0,2018,71,0,0,1,0,0
68.607,26,11.0,1,1,2.0,raikkonen,0,23.1,0,38.3,45.2,3.0,68.585,85.039,3.0,2018,71,0,0,1,0,0
68.582,27,12.0,1,1,2.0,raikkonen,0,23.0,0,37.4,45.2,3.0,68.389,67.999,3.0,2018,71,0,0,1,0,0
68.501,28,13.0,1,1,2.0,raikkonen,0,22.6,0,38.7,45.4,3.0,68.745,68.209,3.0,2018,71,0,0,1,0,0
68.496,29,14.0,1,1,2.0,raikkonen,0,22.9,0,38.3,45.4,3.0,68.886,68.399,3.0,2018,71,0,0,1,0,0
68.044,30,15.0,1,1,2.0,raikkonen,0,22.7,0,38.2,45.5,3.0,68.676,68.592,3.0,2018,71,0,0,1,0,0
68.694,31,16.0,1,1,2.0,raikkonen,0,22.4,0,39.5,45.7,3.0,68.681,68.549,3.0,2018,71,0,0,1,0,0
68.591,32,17.0,1,1,2.0,raikkonen,0,22.9,0,38.4,46.1,3.0,68.592,68.038,3.0,2018,71,0,0,1,0,0
68.734,33,18.0,1,1,2.0,raikkonen,0,23.3,0,37.6,46.1,3.0,68.071,69.022,3.0,2018,71,0,0,1,0,0
68.852,34,19.0,1,1,2.0,raikkonen,0,23.4,0,37.3,45.7,3.0,68.735,68.651,3.0,2018,71,0,0,1,0,0
68.884,35,20.0,1,1,2.0,raikkonen,0,23.4,0,36.4,45.7,3.0,68.816,69.288,3.0,2018,71,0,0,1,0,0
68.689,36,21.0,1,1,2.0,raikkonen,0,22.9,0,37.7,45.7,3.0,68.809,69.063,3.0,2018,71,0,0,1,0,0
68.801,37,22.0,1,1,2.0,raikkonen,0,22.9,0,37.7,45.6,3.0,69.178,68.521,3.0,2018,71,0,0,1,0,0
69.072,38,23.0,1,1,2.0,raikkonen,0,23.2,0,37.0,45.7,2.0,68.815,69.088,3.0,2018,71,0,0,1,0,0
68.546,39,24.0,1,1,2.0,raikkonen,0,23.1,0,36.6,45.9,2.0,68.566,68.372,3.0,2018,71,0,0,1,0,0
68.395,40,25.0,1,1,2.0,raikkonen,0,23.4,0,36.9,46.0,2.0,68.719,68.535,3.0,2018,71,0,0,1,0,0
68.082,41,26.0,1,1,2.0,raikkonen,0,23.7,0,35.4,46.1,2.0,68.713,68.654,3.0,2018,71,0,0,1,0,0
68.585,42,27.0,1,1,2.0,raikkonen,0,23.7,0,34.7,46.0,2.0,68.471,68.851,3.0,2018,71,0,0,1,0,0
68.348,43,28.0,1,1,2.0,raikkonen,0,23.1,0,35.8,45.0,2.0,68.558,68.276,3.0,2018,71,0,0,1,0,0
68.543,44,29.0,1,1,2.0,raikkonen,0,22.9,0,36.1,45.4,2.0,68.873,68.327,3.0,2018,71,0,0,1,0,0
68.215,45,30.0,1,1,2.0,raikkonen,0,22.5,0,36.8,45.5,2.0,68.371,68.273,3.0,2018,71,0,0,1,0,0
68.248,46,31.0,1,1,2.0,raikkonen,0,22.7,0,36.5,45.0,2.0,68.134,68.047,3.0,2018,71,0,0,1,0,0
68.569,47,32.0,1,1,2.0,raikkonen,0,22.7,0,36.6,45.1,2.0,68.181,68.228,3.0,2018,71,0,0,1,0,0
68.374,48,33.0,1,1,2.0,raikkonen,0,22.6,0,37.3,45.2,2.0,68.384,68.007,3.0,2018,71,0,0,1,0,0
67.871,49,34.0,1,1,2.0,raikkonen,0,22.7,0,37.3,45.2,2.0,68.203,68.438,3.0,2018,71,0,0,1,0,0
67.696,50,35.0,1,1,2.0,raikkonen,0,23.0,0,35.7,45.2,2.0,68.265,67.741,3.0,2018,71,0,0,1,0,0
68.263,51,36.0,1,1,2.0,raikkonen,0,23.4,0,36.1,44.8,2.0,68.037,67.952,3.0,2018,71,0,0,1,0,0
67.799,52,37.0,1,1,2.0,raikkonen,0,23.4,0,35.6,45.1,2.0,67.999,67.921,3.0,2018,71,0,0,1,0,0
68.019,53,38.0,1,1,2.0,raikkonen,0,23.1,0,36.1,45.2,2.0,68.212,67.782,3.0,2018,71,0,0,1,0,0
68.084,54,39.0,1,2,2.0,raikkonen,0,23.3,0,36.5,45.2,2.0,68.415,68.007,3.0,2018,71,0,0,1,0,0
67.991,55,40.0,1,2,2.0,raikkonen,0,23.8,0,36.3,45.3,2.0,68.291,68.446,3.0,2018,71,0,0,1,0,0
67.782,56,41.0,1,2,2.0,raikkonen,0,24.2,0,34.7,45.4,2.0,68.087,67.779,3.0,2018,71,0,0,1,0,0
67.896,57,42.0,1,2,2.0,raikkonen,0,24.1,0,34.3,45.0,2.0,68.055,68.582,3.0,2018,71,0,0,1,0,0
67.039,58,43.0,1,1,2.0,raikkonen,0,23.9,0,35.4,44.8,2.0,67.941,67.301,3.0,2018,71,0,0,1,0,0
67.743,59,44.0,1,1,2.0,raikkonen,0,23.9,0,35.3,44.9,2.0,67.825,67.666,3.0,2018,71,0,0,1,0,0
67.443,60,45.0,1,1,2.0,raikkonen,0,24.0,0,35.5,45.0,2.0,67.703,67.379,3.0,2018,71,0,0,1,0,0
67.649,61,46.0,1,1,2.0,raikkonen,0,24.2,0,35.0,44.9,2.0,67.925,67.684,3.0,2018,71,0,0,1,0,0
68.252,62,47.0,1,1,2.0,raikkonen,0,24.1,0,35.6,44.8,2.0,67.861,67.586,3.0,2018,71,0,0,1,0,0
67.724,63,48.0,1,2,2.0,raikkonen,0,23.8,0,34.9,44.8,2.0,67.828,67.675,3.0,2018,71,0,0,1,0,0
68.071,64,49.0,1,2,2.0,raikkonen,0,23.3,0,36.3,44.6,2.0,68.359,68.066,3.0,2018,71,0,0,1,0,0
67.802,65,50.0,1,2,2.0,raikkonen,0,23.3,0,37.4,44.6,2.0,68.042,67.645,3.0,2018,71,0,0,1,0,0
66.975,66,51.0,1,1,2.0,raikkonen,0,23.6,0,38.5,44.5,2.0,67.634,67.283,3.0,2018,71,0,0,1,0,0
67.471,67,52.0,1,1,2.0,raikkonen,0,23.6,0,39.8,44.4,2.0,67.558,67.082,3.0,2018,71,0,0,1,0,0
67.286,68,53.0,1,1,2.0,raikkonen,0,23.8,0,39.8,44.6,2.0,67.469,67.377,3.0,2018,71,0,0,1,0,0
67.293,69,54.0,1,1,2.0,raikkonen,0,24.1,0,38.2,44.9,2.0,67.449,67.018,3.0,2018,71,0,0,1,0,0
67.217,70,55.0,1,1,2.0,raikkonen,0,24.0,0,36.3,44.9,2.0,67.442,67.198,3.0,2018,71,0,0,1,0,0
71.007,2,4.0,0,2,1.0,vettel,1,22.7,0,37.4,47.4,7.0,71.032,72.319,6.0,2018,15,0,0,0,0,1
70.885,3,5.0,0,1,1.0,vettel,0,22.7,0,37.4,47.4,6.0,70.348,72.422,6.0,2018,15,0,0,0,0,1
70.226,4,6.0,0,1,1.0,vettel,0,22.8,0,37.6,47.3,6.0,69.946,70.337,6.0,2018,15,0,0,0,0,1
69.713,5,7.0,0,1,1.0,vettel,0,22.9,0,36.9,46.9,6.0,69.758,70.155,6.0,2018,15,0,0,0,0,1
69.781,6,8.0,0,1,1.0,vettel,0,23.2,0,36.6,46.9,6.0,69.594,70.364,6.0,2018,15,0,0,0,0,1
69.285,7,9.0,0,1,1.0,vettel,0,23.5,0,37.1,47.1,6.0,69.896,69.937,6.0,2018,15,0,0,0,0,1
69.816,8,10.0,0,1,1.0,vettel,0,23.6,0,37.7,47.2,6.0,69.683,69.956,6.0,2018,15,0,0,0,0,1
69.264,9,11.0,0,1,1.0,vettel,0,23.8,0,36.2,47.2,6.0,69.628,69.996,6.0,2018,15,0,0,0,0,1
69.375,10,12.0,0,1,1.0,vettel,0,23.6,0,36.3,47.2,6.0,69.719,70.166,6.0,2018,15,0,0,0,0,1
69.664,11,13.0,0,1,1.0,vettel,0,23.5,0,36.7,47.0,6.0,69.387,70.262,6.0,2018,15,0,0,0,0,1
69.329,12,14.0,0,2,1.0,vettel,0,23.1,0,37.4,46.9,6.0,69.365,70.223,6.0,2018,15,0,0,0,0,1
70.303,13,15.0,0,2,1.0,vettel,0,22.8,0,37.0,46.9,6.0,69.882,70.448,6.0,2018,15,0,0,0,0,1
69.232,14,16.0,0,2,1.0,vettel,0,23.0,0,37.2,46.4,5.0,69.135,70.214,6.0,2018,15,0,0,0,0,1
89.122,15,17.0,0,26,1.0,vettel,0,22.8,0,37.7,46.6,5.0,88.735,93.593,6.0,2018,71,0,0,0,0,1
96.112,16,1.0,1,67,2.0,vettel,1,22.5,0,38.5,46.6,5.0,93.013,81.372,6.0,2018,71,0,0,1,0,0
68.321,17,2.0,1,1,2.0,vettel,0,22.2,0,39.4,46.7,5.0,68.228,69.462,6.0,2018,71,0,0,1,0,0
68.743,18,3.0,1,1,2.0,vettel,0,22.2,0,39.4,46.7,5.0,68.319,69.723,6.0,2018,71,0,0,1,0,0
68.495,19,4.0,1,1,2.0,vettel,0,22.6,0,39.5,46.7,5.0,68.558,69.663,6.0,2018,71,0,0,1,0,0
68.548,20,5.0,1,1,2.0,vettel,0,22.9,0,38.0,46.7,5.0,70.439,69.673,6.0,2018,71,0,0,1,0,0
68.248,21,6.0,1,1,2.0,vettel,0,23.0,0,37.9,46.6,5.0,68.859,69.756,6.0,2018,71,0,0,1,0,0
68.913,22,7.0,1,1,2.0,vettel,0,23.2,0,37.5,45.3,5.0,68.784,69.864,6.0,2018,71,0,0,1,0,0
68.558,23,8.0,1,1,2.0,vettel,0,22.7,0,38.5,44.6,5.0,68.779,69.086,6.0,2018,71,0,0,1,0,0
68.243,24,9.0,1,1,2.0,vettel,0,22.8,0,38.3,44.2,5.0,68.548,69.518,6.0,2018,71,0,0,1,0,0
67.989,25,10.0,1,1,2.0,vettel,0,22.8,0,38.4,45.1,5.0,68.581,69.508,6.0,2018,71,0,0,1,0,0
68.713,26,11.0,1,1,2.0,vettel,0,23.1,0,38.3,45.2,5.0,85.039,69.349,6.0,2018,71,0,0,1,0,0
68.535,27,12.0,1,1,2.0,vettel,0,23.0,0,37.4,45.2,5.0,67.999,69.274,6.0,2018,71,0,0,1,0,0
68.547,28,13.0,1,1,2.0,vettel,0,22.6,0,38.7,45.4,5.0,68.209,73.016,6.0,2018,71,0,0,1,0,0
68.326,29,14.0,1,1,2.0,vettel,0,22.9,0,38.3,45.4,5.0,68.399,69.477,6.0,2018,71,0,0,1,0,0
68.397,30,15.0,1,1,2.0,vettel,0,22.7,0,38.2,45.5,5.0,68.592,69.901,6.0,2018,71,0,0,1,0,0
68.253,31,16.0,1,1,2.0,vettel,0,22.4,0,39.5,45.7,5.0,68.549,69.577,6.0,2018,71,0,0,1,0,0
68.331,32,17.0,1,1,2.0,vettel,0,22.9,0,38.4,46.1,5.0,68.038,69.849,6.0,2018,71,0,0,1,0,0
69.001,33,18.0,1,1,2.0,vettel,0,23.3,0,37.6,46.1,5.0,69.022,69.726,6.0,2018,71,0,0,1,0,0
68.644,34,19.0,1,1,2.0,vettel,0,23.4,0,37.3,45.7,5.0,68.651,69.571,6.0,2018,71,0,0,1,0,0
68.539,35,20.0,1,1,2.0,vettel,0,23.4,0,36.4,45.7,5.0,69.288,69.522,6.0,2018,71,0,0,1,0,0
68.706,36,21.0,1,1,2.0,vettel,0,22.9,0,37.7,45.7,5.0,69.063,69.723,6.0,2018,71,0,0,1,0,0
68.674,37,22.0,1,1,2.0,vettel,0,22.9,0,37.7,45.6,5.0,68.521,69.342,6.0,2018,71,0,0,1,0,0
69.249,38,23.0,1,1,2.0,vettel,0,23.2,0,37.0,45.7,4.0,69.088,74.063,6.0,2018,71,0,0,1,0,0
68.372,39,24.0,1,1,2.0,vettel,0,23.1,0,36.6,45.9,3.0,68.546,69.875,6.0,2018,71,0,0,1,0,0
68.535,40,25.0,1,1,2.0,vettel,0,23.4,0,36.9,46.0,3.0,68.395,68.648,6.0,2018,71,0,0,1,0,0
68.654,41,26.0,1,1,2.0,vettel,0,23.7,0,35.4,46.1,3.0,68.082,68.066,6.0,2018,71,0,0,1,0,0
68.851,42,27.0,1,1,2.0,vettel,0,23.7,0,34.7,46.0,3.0,68.585,68.041,6.0,2018,71,0,0,1,0,0
68.276,43,28.0,1,1,2.0,vettel,0,23.1,0,35.8,45.0,3.0,68.348,68.469,6.0,2018,71,0,0,1,0,0
68.327,44,29.0,1,1,2.0,vettel,0,22.9,0,36.1,45.4,3.0,68.543,68.236,6.0,2018,71,0,0,1,0,0
68.273,45,30.0,1,1,2.0,vettel,0,22.5,0,36.8,45.5,3.0,68.215,68.456,6.0,2018,71,0,0,1,0,0
68.047,46,31.0,1,1,2.0,vettel,0,22.7,0,36.5,45.0,3.0,68.248,67.923,6.0,2018,71,0,0,1,0,0
68.228,47,32.0,1,1,2.0,vettel,0,22.7,0,36.6,45.1,3.0,68.569,67.977,6.0,2018,71,0,0,1,0,0
68.007,48,33.0,1,1,2.0,vettel,0,22.6,0,37.3,45.2,3.0,68.374,68.478,6.0,2018,71,0,0,1,0,0
68.438,49,34.0,1,1,2.0,vettel,0,22.7,0,37.3,45.2,3.0,67.871,68.854,6.0,2018,71,0,0,1,0,0
67.741,50,35.0,1,1,2.0,vettel,0,23.3,0,35.5,44.9,3.0,67.696,68.372,6.0,2018,71,0,0,1,0,0
67.952,51,36.0,1,1,2.0,vettel,0,23.4,0,36.1,44.8,3.0,68.263,68.496,6.0,2018,71,0,0,1,0,0
67.921,52,37.0,1,1,2.0,vettel,0,23.4,0,35.6,45.1,3.0,67.799,71.638,6.0,2018,71,0,0,1,0,0
67.782,53,38.0,1,1,2.0,vettel,0,23.1,0,36.1,45.2,3.0,68.019,67.943,6.0,2018,71,0,0,1,0,0
