LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,Piloto,makeStop,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,anyo,nextPit
01:08.265,50,SOFT,35.0,True,1,2.0,max_verstappen,0,23.0,False,35.7,45.2,1,vandoorne,1:09.494,raikkonen,1:07.696,4.0,2018,71
01:08.037,51,SOFT,36.0,True,1,2.0,max_verstappen,0,23.4,False,36.1,44.8,1,vandoorne,1:09.176,raikkonen,1:08.263,4.0,2018,71
01:07.999,52,SOFT,37.0,True,1,2.0,max_verstappen,0,23.4,False,35.6,45.1,1,vandoorne,1:09.621,raikkonen,1:07.799,4.0,2018,71
01:08.212,53,SOFT,38.0,True,1,2.0,max_verstappen,0,23.1,False,36.1,45.2,1,vandoorne,1:10.512,raikkonen,1:08.019,4.0,2018,71
01:08.415,54,SOFT,39.0,True,2,2.0,max_verstappen,0,23.3,False,36.5,45.2,1,vandoorne,1:09.631,raikkonen,1:08.084,4.0,2018,71
01:08.291,55,SOFT,40.0,True,2,2.0,max_verstappen,0,23.8,False,36.3,45.3,1,vandoorne,1:10.539,raikkonen,1:07.991,4.0,2018,71
01:08.087,56,SOFT,41.0,True,2,2.0,max_verstappen,0,24.2,False,34.7,45.4,1,vandoorne,1:10.600,raikkonen,1:07.782,4.0,2018,71
01:08.055,57,SOFT,42.0,True,2,2.0,max_verstappen,0,24.1,False,34.3,45.0,1,vandoorne,1:09.463,raikkonen,1:07.896,4.0,2018,71
01:07.941,58,SOFT,43.0,True,2,2.0,max_verstappen,0,24.0,False,34.4,44.8,1,vandoorne,1:09.178,raikkonen,1:07.390,4.0,2018,71
01:07.825,59,SOFT,44.0,True,1,2.0,max_verstappen,0,23.9,False,35.3,44.9,1,vandoorne,1:09.245,raikkonen,1:07.743,4.0,2018,71
01:07.703,60,SOFT,45.0,True,1,2.0,max_verstappen,0,24.0,False,35.5,45.0,1,vandoorne,1:09.379,raikkonen,1:07.443,4.0,2018,71
01:07.925,61,SOFT,46.0,True,1,2.0,max_verstappen,0,24.2,False,35.0,44.9,1,vandoorne,1:09.397,raikkonen,1:07.649,4.0,2018,71
01:07.861,62,SOFT,47.0,True,1,2.0,max_verstappen,0,24.1,False,35.6,44.8,1,vandoorne,1:09.443,raikkonen,1:08.252,4.0,2018,71
01:07.828,63,SOFT,48.0,True,2,2.0,max_verstappen,0,23.8,False,34.9,44.8,1,vandoorne,1:08.894,raikkonen,1:07.724,4.0,2018,71
