LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
0,14.0,HARD,3.0,True,4,2.0,19.6,False,52.8,32.2,12,kvyat,2:35.327,raikkonen,2:33.284,14.0,44.0
01:52.777,15.0,HARD,4.0,True,1,2.0,19.3,False,51.9,31.9,12,kvyat,1:52.651,raikkonen,1:52.758,14.0,44.0
01:52.297,16.0,HARD,5.0,True,1,2.0,19.3,False,51.3,32.0,13,raikkonen,1:51.450,leclerc,1:52.219,14.0,44.0
01:51.903,17.0,HARD,6.0,True,1,2.0,19.1,False,52.7,31.9,13,raikkonen,1:51.731,leclerc,1:51.715,14.0,44.0
01:51.560,18.0,HARD,7.0,True,1,2.0,19.3,False,51.7,32.0,13,perez,1:55.861,leclerc,1:51.545,14.0,44.0
01:51.010,19.0,HARD,8.0,True,1,2.0,19.6,False,50.5,31.8,12,raikkonen,1:50.662,leclerc,1:51.290,14.0,44.0
01:50.551,20.0,HARD,9.0,True,1,2.0,19.1,False,52.9,31.3,12,raikkonen,1:50.501,leclerc,1:50.753,14.0,44.0
01:50.793,21.0,HARD,10.0,True,1,2.0,18.8,False,54.9,30.0,12,raikkonen,1:50.637,leclerc,1:50.616,14.0,44.0
01:50.524,22.0,HARD,11.0,True,1,2.0,18.8,False,54.5,29.6,12,raikkonen,1:50.476,leclerc,1:50.653,14.0,44.0
01:50.200,23.0,HARD,12.0,True,1,2.0,18.4,False,55.2,29.2,12,raikkonen,1:50.215,leclerc,1:50.288,14.0,44.0
01:50.463,24.0,HARD,13.0,True,1,2.0,18.6,False,55.2,28.6,12,raikkonen,1:50.583,grosjean,1:51.163,14.0,44.0
01:50.232,25.0,HARD,14.0,True,1,2.0,18.4,False,54.7,28.6,12,raikkonen,1:50.198,grosjean,1:50.618,14.0,44.0
01:50.351,26.0,HARD,15.0,True,1,2.0,18.2,False,55.0,28.1,12,raikkonen,1:50.181,perez,1:48.541,14.0,44.0
01:50.507,27.0,HARD,16.0,True,1,2.0,18.2,False,54.7,27.8,11,raikkonen,1:49.897,perez,1:48.984,14.0,44.0
01:50.380,28.0,HARD,17.0,True,1,2.0,18.2,False,55.3,27.8,11,raikkonen,1:49.822,perez,1:49.793,14.0,44.0
01:51.378,29.0,HARD,18.0,True,1,2.0,18.0,False,55.0,27.6,12,perez,1:48.995,grosjean,1:50.336,14.0,44.0
01:50.179,30.0,HARD,19.0,True,1,2.0,18.0,False,54.8,27.6,12,perez,1:49.151,gasly,1:48.021,14.0,44.0
01:49.958,31.0,HARD,20.0,True,1,2.0,18.3,False,54.3,27.9,12,perez,1:49.725,gasly,1:48.473,14.0,44.0
01:51.882,32.0,HARD,21.0,True,1,2.0,18.6,False,53.5,28.2,13,gasly,1:48.603,grosjean,1:50.181,14.0,44.0
01:50.499,33.0,HARD,22.0,True,1,2.0,18.8,False,52.9,28.6,13,gasly,1:49.098,grosjean,1:50.584,14.0,44.0
01:50.492,34.0,HARD,23.0,True,1,2.0,18.9,False,52.8,28.4,13,raikkonen,1:51.710,grosjean,1:50.405,14.0,44.0
01:50.552,35.0,HARD,24.0,True,1,2.0,19.0,False,53.4,29.0,13,raikkonen,1:50.508,grosjean,1:50.416,14.0,44.0
01:50.671,36.0,HARD,25.0,True,1,2.0,19.4,False,52.2,30.1,13,raikkonen,1:50.645,grosjean,1:50.636,14.0,44.0
01:50.990,37.0,HARD,26.0,True,1,2.0,19.8,False,51.4,30.7,13,raikkonen,1:51.345,grosjean,1:51.147,14.0,44.0
01:50.684,38.0,HARD,27.0,True,1,2.0,20.0,False,50.9,30.9,13,raikkonen,1:50.382,grosjean,1:50.371,14.0,44.0
01:50.691,39.0,HARD,28.0,True,1,2.0,20.0,False,50.5,30.5,13,raikkonen,1:51.470,grosjean,1:50.915,14.0,44.0
01:50.679,40.0,HARD,29.0,True,1,2.0,19.5,False,51.2,29.2,13,raikkonen,1:50.695,grosjean,1:50.871,14.0,44.0
01:50.690,41.0,HARD,30.0,True,1,2.0,19.1,False,53.0,28.4,13,raikkonen,1:50.520,grosjean,1:50.836,14.0,44.0
01:51.509,42.0,HARD,31.0,True,1,2.0,18.9,False,53.5,27.7,13,raikkonen,1:51.319,grosjean,1:50.736,14.0,44.0
01:50.785,43.0,HARD,32.0,True,1,2.0,18.7,False,53.4,27.7,13,raikkonen,1:51.418,grosjean,1:51.061,14.0,44.0
01:51.385,44.0,HARD,33.0,True,2,2.0,18.6,False,54.2,27.3,13,raikkonen,1:51.937,leclerc,1:50.035,14.0,44.0
