LapTime,LapNumber,Compound,TyreLife,FreshTyre,TrackStatus,Stint,AirTemp,Rainfall,Humidity,TrackTemp,posicionActual,pilotoDelante,tiempoPilotoDelante,pilotoDetras,tiempoPilotoDetras,posicionSalida,nextPit
01:09.742,42,SOFT,15.0,True,1,2.0,23.5,False,35.0,45.2,9,kevin_magnussen,1:09.133,ericsson,1:09.287,16.0,70
01:09.702,43,SOFT,16.0,True,1,2.0,23.1,False,35.8,45.0,9,kevin_magnussen,1:09.270,ericsson,1:09.382,16.0,70
01:09.366,44,SOFT,17.0,True,1,2.0,22.5,False,36.8,45.5,9,kevin_magnussen,1:09.454,ericsson,1:09.612,16.0,70
01:09.578,45,SOFT,18.0,True,1,2.0,22.7,False,36.5,45.0,9,kevin_magnussen,1:09.475,ericsson,1:13.355,16.0,70
01:09.424,46,SOFT,19.0,True,1,2.0,22.7,False,36.6,45.1,9,kevin_magnussen,1:09.095,gasly,1:09.423,16.0,70
01:09.574,47,SOFT,20.0,True,1,2.0,22.6,False,37.3,45.2,9,kevin_magnussen,1:09.547,gasly,1:09.951,16.0,70
01:11.301,48,SOFT,21.0,True,1,2.0,22.7,False,37.3,45.2,9,ocon,1:10.637,gasly,1:11.781,16.0,70
01:09.150,49,SOFT,22.0,True,1,2.0,23.0,False,35.7,45.2,9,ocon,1:09.828,gasly,1:10.861,16.0,70
01:08.939,50,SOFT,23.0,True,1,2.0,23.4,False,36.1,44.8,9,ocon,1:09.730,gasly,1:09.842,16.0,70
01:08.903,51,SOFT,24.0,True,1,2.0,23.4,False,35.6,45.1,9,ocon,1:09.817,gasly,1:09.628,16.0,70
01:09.256,52,SOFT,25.0,True,1,2.0,23.1,False,36.1,45.2,9,ocon,1:10.963,gasly,1:09.653,16.0,70
01:11.806,53,SOFT,26.0,True,2,2.0,23.3,False,36.5,45.2,9,ocon,1:09.904,gasly,1:09.993,16.0,70
01:09.729,54,SOFT,27.0,True,2,2.0,23.8,False,36.3,45.3,8,ocon,1:10.073,gasly,1:09.930,16.0,70
01:09.018,55,SOFT,28.0,True,2,2.0,24.2,False,34.7,45.4,8,ocon,1:11.881,gasly,1:09.645,16.0,70
01:08.906,56,SOFT,29.0,True,2,2.0,24.0,False,34.4,44.8,8,ocon,1:10.044,gasly,1:09.728,16.0,70
01:08.618,57,SOFT,30.0,True,1,2.0,23.9,False,35.4,44.8,8,ocon,1:09.223,gasly,1:09.516,16.0,70
01:08.829,58,SOFT,31.0,True,1,2.0,23.9,False,35.3,44.9,8,ocon,1:09.317,gasly,1:09.584,16.0,70
01:09.119,59,SOFT,32.0,True,1,2.0,24.0,False,35.5,45.0,8,ocon,1:09.425,gasly,1:10.805,16.0,70
01:08.590,60,SOFT,33.0,True,1,2.0,24.2,False,35.0,44.9,7,kevin_magnussen,1:09.360,ocon,1:10.513,16.0,70
01:08.845,61,SOFT,34.0,True,1,2.0,24.1,False,35.6,44.8,7,kevin_magnussen,1:08.813,ocon,1:09.355,16.0,70
01:08.623,62,SOFT,35.0,True,2,2.0,23.8,False,34.9,44.8,7,kevin_magnussen,1:08.802,ocon,1:09.155,16.0,70
01:08.758,63,SOFT,36.0,True,2,2.0,23.3,False,37.4,44.6,6,kevin_magnussen,1:09.052,ocon,1:10.044,16.0,70
01:08.547,64,SOFT,37.0,True,2,2.0,23.5,False,37.6,44.6,6,kevin_magnussen,1:08.627,ocon,1:08.850,16.0,70
01:08.583,65,SOFT,38.0,True,1,2.0,23.6,False,38.5,44.5,6,kevin_magnussen,1:08.560,ocon,1:09.396,16.0,70
01:08.504,66,SOFT,39.0,True,1,2.0,23.6,False,39.8,44.4,6,kevin_magnussen,1:08.537,ocon,1:09.183,16.0,70
01:08.992,67,SOFT,40.0,True,1,2.0,23.8,False,39.8,44.6,6,kevin_magnussen,1:08.538,ocon,1:09.410,16.0,70
01:09.017,68,SOFT,41.0,True,1,2.0,24.1,False,38.2,44.9,6,kevin_magnussen,1:08.566,ocon,1:09.176,16.0,70
01:09.666,69,SOFT,42.0,True,1,2.0,24.0,False,36.3,44.9,6,kevin_magnussen,1:08.613,ocon,1:09.212,16.0,70
01:17.214,70,SOFT,43.0,True,1,2.0,23.6,False,37.4,44.6,7,ocon,1:10.205,alonso,1:09.167,16.0,70
0,1,MEDIUM,1.0,True,1,1.0,33.8,False,19.1,51.4,11,kevin_magnussen,1:17.891,hulkenberg,1:18.932,13.0,28
01:12.896,2,MEDIUM,2.0,True,1,1.0,33.6,False,20.3,51.0,11,kevin_magnussen,1:12.717,hulkenberg,1:12.885,13.0,28
01:11.951,3,MEDIUM,3.0,True,1,1.0,33.9,False,19.4,51.3,11,kevin_magnussen,1:11.813,hulkenberg,1:11.924,13.0,28
01:10.798,4,MEDIUM,4.0,True,1,1.0,34.1,False,18.9,51.3,10,giovinazzi,1:10.922,kevin_magnussen,1:12.658,13.0,28
01:11.341,5,MEDIUM,5.0,True,1,1.0,34.2,False,19.0,51.2,10,giovinazzi,1:10.976,hulkenberg,1:11.280,13.0,28
01:10.969,6,MEDIUM,6.0,True,1,1.0,34.7,False,18.1,51.3,10,giovinazzi,1:11.066,hulkenberg,1:11.356,13.0,28
